#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
1,SPY,Actions,12.669947426355069,1.590237633067531,4364862.0,-2.032381734308357,-4.631041768373157,Allégé,2838644353.0,12.669947426355069,11.079709793287538,6.6939514973122405,6.505443556400464,8.67403748466447,22.120150570168704
2,IVV,Actions,7.8109342865209905,-2.643874634548262,2679084.0,-35.992664353810184,-4.632522515146809,Allégé,1750004460.0,7.8109342865209905,10.454808921069253,10.616698411429939,5.784690022092807,5.670588441935178,5.504182032861345
3,AMZN,Actions,4.079693427009495,2.43976081477199,4388711.0,125.263800305299,-9.769517313701781,Renforcé,914036840.0,4.079693427009495,1.6399326122375053,0.9676211390287067,1.1007900135958424,1.1682378745552877,0.9251813183851977
4,NVDA,Actions,3.653096468403956,1.024291550250822,4693003.0,21.416664834077366,-6.487935744548601,Renforcé,818459723.0,3.653096468403956,2.628804918153134,1.8343593896886576,4.606905782065266,1.4290218435107633,2.1533146321280907
5,GOOGL,Actions,2.563993503366499,0.7481684352764058,1997674.0,25.574638583980903,-8.127795597525921,Renforcé,574451135.0,2.563993503366499,1.8158250680900934,2.5273044439982186,3.981018591042434,2.1827120013510797,3.142963290027546
6,AVGO,Actions,2.5355052195403633,1.0641745513263692,1835380.0,57.443340710621584,-10.572088960136018,Renforcé,568068464.0,2.5355052195403633,1.4713306682139942,1.092551209497224,1.2819863398079965,0.7276568283269651,0.6986644166028143
7,MU,Actions,2.2252261304826577,1.2992698626490953,1475704.0,65.87653432849243,18.370064219285997,Renforcé,498551839.0,2.2252261304826577,0.9259562678335624,0.0011116365927045868,,,
8,MSFT,Actions,1.7926123307993493,0.05702487795832156,1084979.0,10.251897436314325,-23.45850048998175,Renforcé,401626676.0,1.7926123307993493,1.7355874528410278,2.2261276715299325,3.44101468933632,1.4097216938222688,1.2890509495489926
9,GEV,Actions,1.694395282310051,0.1070501256810985,434897.0,-34.69985600535738,33.55876186051168,Allégé,379621591.0,1.694395282310051,1.5873451566289525,1.5683231549279277,1.6611109458594342,0.8792105303807496,0.3637810155708801
10,TSM,Actions,1.6246650491949848,,1077079.0,,,Nouveau,363998848.0,1.6246650491949848,,,,,
11,LRCX,Actions,1.4983957712174096,-0.4003674935120025,1571229.0,-48.34305992679658,24.81598311875843,Allégé,335708788.0,1.4983957712174096,1.8987632647294121,1.816957022911589,0.643436143443943,0.6611678043686413,0.8389661544444266
12,AMD,Actions,1.1738134607219568,-0.11991718620255365,1292767.0,-21.959195352686674,-5.01027253900439,Allégé,262987591.0,1.1738134607219568,1.2937306469245105,1.1375138159711324,1.004638083493971,1.0315331323873163,0.9955442265206729
13,NEM,Actions,1.1193102258031338,0.2785699053053742,2316641.0,0.33487677513492303,8.412618655729576,Inchangé,250776388.0,1.1193102258031338,0.8407403204977596,0.1279187912862095,0.17973154645603934,0.32826042598958827,0.23991108813170714
14,ORCL,Actions,1.0453648929986077,-0.28628606038366433,1592069.0,-15.020808857949453,-24.524139274179934,Allégé,234209271.0,1.0453648929986077,1.331650953382272,0.44760009113477855,0.2942914458449507,0.37616922592932056,0.06760319813348391
15,EWY,Actions,0.9697501714024038,0.23502082159447535,1766264.0,-14.770324432361589,26.527463543806263,Allégé,217268135.0,0.9697501714024038,0.7347293498079285,0.6385727589327513,0.471249601905743,0.3771367603030187,0.7360648641697491
16,MRVL,Actions,0.8616250896067595,0.5556834826681573,1948947.0,97.41729823687074,16.556836080169155,Renforcé,193043200.0,0.8616250896067595,0.3059416069386023,0.11812992178026886,0.12536060101849525,0.00866469473550792,0.015326027365085069
17,AMAT,Actions,0.8541764811428864,0.40660066098555026,559918.0,17.24140819176803,32.99739299101046,Renforcé,191374373.0,0.8541764811428864,0.4475758201573361,0.37174398437631634,,0.004255130289589904,0.012338698896317484
18,JNJ,Actions,0.7603203197124124,-0.2313193762069724,696884.0,-46.962992728839126,18.11548690374063,Allégé,170346325.0,0.7603203197124124,0.9916396959193848,1.246252722697984,1.406348264392249,0.22873644811351102,0.35668348793483634
19,META,Actions,0.7448054826262023,0.20631495498828167,291665.0,30.381625473288004,-13.325455800596053,Renforcé,166870296.0,0.7448054826262023,0.5384905276379206,1.1993922271292308,2.4027887862169424,1.1380948065747096,1.667288236492474
20,ANET,Actions,0.7289081606846397,0.09365457539264666,1330091.0,0.048817473797277355,-6.296267878887518,Inchangé,163308573.0,0.7289081606846397,0.635253585291993,0.3883476337489877,0.37164850722201975,0.3032106370337102,0.34107768966250496
21,KLAC,Actions,0.7141973568077928,0.3669450959075816,108674.0,38.673166000995316,21.178029630807593,Renforcé,160012684.0,0.7141973568077928,0.3472522609002112,0.47635107372104735,0.09040242834949225,0.09356401735388477,0.3346638426961774
22,CLS,Actions,0.6608342565124081,0.2923956495567941,525621.0,53.79197949522199,-4.712289889509358,Renforcé,148056923.0,0.6608342565124081,0.36843860695561403,0.15364585596277514,0.3955342423037749,0.23259005052454254,0.1660511238901767
23,VWO,Actions,0.6566079894470751,0.14587178016248825,2721740.0,4.475927552342757,0.5394347822432977,Renforcé,147110047.0,0.6566079894470751,0.5107362092845869,0.5254238191455582,0.3663777097761305,0.4563368561736942,0.4482908749428023
24,AAPL,Actions,0.6383018306079435,0.3513180429728596,563492.0,94.66267778119398,-6.646803221737341,Renforcé,143008635.0,0.6383018306079435,0.2869837876350839,0.3438825225993218,0.2952886580802767,0.9691640908538354,0.7086311995824013
25,UNP,Actions,0.5770260196331334,0.5310439630037552,532850.0,877.5449925700343,4.885006783238222,Renforcé,129280067.0,0.5770260196331334,0.04598205662937818,0.18020477462707965,,0.020469440848813258,0.0022614719485120195
26,MBB,Actions,0.5763651403991442,0.0987652850006992,1360000.0,-1.1196742765740877,-0.2835538752362865,Allégé,129132000.0,0.5763651403991442,0.477599855398445,0.5050900810696669,0.5530000102841217,0.6298360383098509,0.6030577924815728
27,STX,Actions,0.5754853011498796,0.2943097785201818,329117.0,17.551441725570317,42.25643647028028,Renforcé,128934876.0,0.5754853011498796,0.2811755226296978,0.14990480268965647,0.01506831306991054,,0.011310371975825052
28,B,Actions,0.5605991623304135,0.16568771520935982,3079243.0,23.837999379853443,-6.342630581299257,Renforcé,125599704.0,0.5605991623304135,0.3949114471210537,0.07858020890476393,0.14223761117854122,,
29,ASML,Actions,0.543529140947518,0.20765110484434535,92196.0,7.093821510297483,23.45820919317618,Renforcé,121775243.0,0.543529140947518,0.3358780361031727,0.3420668383988399,0.03688595793771094,0.11381811703749932,0.04483352056634094
30,FIX,Actions,0.5321697951156001,0.30005564824374187,86462.0,26.778985029106,47.75578751749647,Renforcé,119230233.0,0.5321697951156001,0.23211414687185827,0.1683578565263636,0.026486382273657533,0.19063738818079087,0.19623827686529896
31,MO,Actions,0.502338520524512,-0.18667075577598502,1705511.0,-47.951156496175635,14.44675675640883,Allégé,112546671.0,0.502338520524512,0.689009276300497,0.9563413504767838,0.891773270653342,0.9228095655902719,0.6413897170215282
32,LQD,Actions,0.4970200108993383,0.0954248069018207,1021700.0,2.231338803281969,-1.0890280424720955,Renforcé,111355083.0,0.4970200108993383,0.4015952039975176,0.42028843653141057,0.45773049599560867,0.5164171526114987,0.4870021391416253
33,GOOG,Actions,0.49550384993089486,,387002.0,,,Nouveau,111015394.0,0.49550384993089486,,,,,
34,SE,Actions,0.4945887946162262,-0.21871395704753316,1338128.0,-12.727120942248229,-35.086618814101435,Allégé,110810380.0,0.4945887946162262,0.7133027516637593,1.1241648693138115,0.5631589127890204,0.3061617365719073,0.29042989409446046
35,APH,Actions,0.48671421012573357,0.09326212641954279,863048.0,8.102068730553983,-6.5043657060136155,Renforcé,109046115.0,0.48671421012573357,0.3934520837061908,0.3564319448849713,,,
36,VRT,Actions,0.48066476405965297,0.22626199829799976,429766.0,-0.19345144786680882,54.66946442353131,Inchangé,107690764.0,0.48066476405965297,0.2544027657616532,0.14798626541762822,0.0445524469959868,0.30494194010243514,0.10606730790519281
37,NUE,Actions,0.4668386466623658,,618528.0,,,Nouveau,104593085.0,0.4668386466623658,,,,0.06289242518504268,
