Position,Type,Poids en T4 25 %,Titres soldés,Valeur soldée $
CRM,Actions,1.8664970164522225,1932066.0,511823604.0
WDAY,Actions,0.7559286272685433,965117.0,207287829.0
NOW,Actions,0.7479639756855259,1338885.0,205103793.0
GPN,Actions,0.27042679712334056,958080.0,74155392.0
GDDY,Actions,0.2569761846872307,567916.0,70467017.0
MTCH,Actions,0.2522636721122551,2142297.0,69174770.0
ADSK,Actions,0.19883857433784013,184199.0,54524746.0
WBS,Actions,0.1730796345329468,754071.0,47461229.0
DVN,Actions,0.15640717306389113,1170881.0,42889371.0
LPLA,Actions,0.1540794362503062,118294.0,42251068.0
CART,Actions,0.1505183037580542,917620.0,41274548.0
COF,Actions,0.13944513709899325,157774.0,38238107.0
MNDY,Actions,0.12870973320099446,239186.0,35294286.0
MRK,Actions,0.1190807448549063,310221.0,32653862.0
CPAY,Actions,0.11046290414483603,100657.0,30290711.0
IGV,Actions,0.10866620463964138,281938.0,29798027.0
OC,Actions,0.10062532851298636,246565.0,27593089.0
CHKP,Actions,0.0937022859387266,138471.0,25694679.0
GTLB,Actions,0.0881763493202836,644268.0,24179378.0
S,Actions,0.08544962067245333,1562111.0,23431665.0
GEN,Actions,0.08109817729133996,817890.0,22238429.0
CP,Actions,0.07909388971217964,294565.0,21688821.0
NTNX,Actions,0.07798264949893359,413699.0,21384101.0
FTNT,Actions,0.07743148573104969,267384.0,21232963.0
ALV,Actions,0.07666174985296262,177101.0,21021889.0
VEEV,Actions,0.07470356823998786,91766.0,20484924.0
CMA,Actions,0.07465268866708419,235488.0,20470972.0
DOX,Actions,0.07316377921583472,249195.0,20062689.0
INTU,Actions,0.07202366761650221,29815.0,19750052.0
SYF,Actions,0.07184750001272992,236147.0,19701744.0
MANH,Actions,0.0701010965990983,110916.0,19222852.0
CADE,Actions,0.06822751248699939,436720.0,18709085.0
CNI,Actions,0.06772552525585618,187527.0,18571432.0
DBX,Actions,0.06085347895076823,600252.0,16687006.0
HOOD,Actions,0.05712781201397293,138509.0,15665368.0
Z,Actions,0.05543332385262461,222819.0,15200712.0
RNG,Actions,0.051306797941293884,487159.0,14069152.0
GD,Actions,0.05035852406648818,41018.0,13809120.0
DEO,Actions,0.049633161944356644,157763.0,13610214.0
ADP,Actions,0.04889239956159065,52121.0,13407085.0
ARW,Actions,0.04875198113020761,121334.0,13368580.0
AOS,Actions,0.048484659153994074,198793.0,13295276.0
FBP,Actions,0.048269329011989805,638506.0,13236229.0
IT,Actions,0.04524028774129958,49174.0,12405617.0
CCL,Actions,0.04091985639344116,367416.0,11220885.0
NDAQ,Actions,0.039536881626342994,111620.0,10841651.0
UPWK,Actions,0.03910808118910775,541073.0,10724067.0
HONZZZZ,Actions,0.038998627383120724,54816.0,10694053.0
TCBI,Actions,0.03817611197101451,115623.0,10468506.0
PTC,Actions,0.03697265617863892,58197.0,10138499.0
ZM,Actions,0.036756997828380544,116808.0,10079362.0
JKHY,Actions,0.03445554684919141,51777.0,9448267.0
TD,Actions,0.03431114251090013,99698.0,9408669.0
TT,Actions,0.03407641526107801,24009.0,9344303.0
FIVN,Actions,0.03347472930261158,457821.0,9179311.0
ZD,Actions,0.031982566942888056,249506.0,8770136.0
WEX,Actions,0.031439885534993696,57869.0,8621324.0
Confluent Inc,Actions,0.030713188699295454,278507.0,8422052.0
PCOR,Actions,0.029020013370963587,109400.0,7957756.0
VMC,Actions,0.028352860806077507,27259.0,7774812.0
ICE,Actions,0.027789684616093213,47051.0,7620380.0
P,Actions,0.026945624155483922,110266.0,7388925.0
BOX,Actions,0.02633561264763825,241446.0,7221650.0
ALLY,Actions,0.026334204998903963,159445.0,7221264.0
GLOB,Actions,0.025805089532179443,108248.0,7076172.0
TNET,Actions,0.02571982102776188,119276.0,7052790.0
FIBK,Actions,0.025159358026011554,199396.0,6899102.0
UEC,Actions,0.024940486881621295,585538.0,6839084.0
APP,Actions,0.024245772116906806,9867.0,6648582.0
PAYC,Actions,0.023417334369193108,40295.0,6421411.0
FAST,Actions,0.02324959077727629,158869.0,6375413.0
CNXC,Actions,0.022108129877343546,145801.0,6062406.0
TTD,Actions,0.02186765898307452,157968.0,5996465.0
DDS,Actions,0.021481569379974016,9715.0,5890593.0
SPSC,Actions,0.021313231366441424,65572.0,5844432.0
EFOR,Actions,0.020970811694929335,119380.0,5750535.0
BBWI,Actions,0.020930741113860986,285834.0,5739547.0
WAB,Actions,0.020373078822545725,26173.0,5586627.0
VRSK,Actions,0.02014641455549956,24697.0,5524472.0
AMCR,Actions,0.020121058644490437,661573.0,5517519.0
XRAY,Actions,0.019866186701382776,476608.0,5447629.0
ED,Actions,0.019688254066555062,54358.0,5398837.0
IONS,Actions,0.019532847458234373,67706.0,5356222.0
FLYW,Actions,0.019514088533132842,377901.0,5351078.0
PAYO,Actions,0.01942589897525371,947846.0,5326895.0
FWONK,Actions,0.019266517400299922,53631.0,5283190.0
WHR,Actions,0.01907388103568812,72503.0,5230366.0
ACN,Actions,0.018889479051496072,19306.0,5179800.0
RHI,Actions,0.018736227677377367,189167.0,5137776.0
ITGR,Actions,0.01838248846785689,64271.0,5040775.0
UUUU,Actions,0.01810940096664617,341533.0,4965890.0
TREX,Actions,0.017948976418795993,140305.0,4921899.0
BLK,Actions,0.017880887793101853,4581.0,4903228.0
OLLI,Actions,0.01775361592567508,44415.0,4868328.0
MRSH,Actions,0.017439341935332038,25777.0,4782149.0
BR,Actions,0.01737726316744648,21352.0,4765126.0
GLPI,Actions,0.017215554960646896,105634.0,4720783.0
JCI,Actions,0.016682351477779526,38201.0,4574570.0
