#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25
1,NTRA,Actions,18.14398009019115,5.343147952777226,3063606.0,21.990063539353425,-12.702403348818503,Renforcé,612691000.0,18.14398009019115,12.800832137413924,12.738616884330217
2,INSM,Actions,5.588587870036614,-0.1492443452511294,1154090.0,-22.11314713933236,-6.044443264696309,Allégé,188717000.0,5.588587870036614,5.737832215287743,8.591795722455153
3,TSM,Actions,4.956722699527486,1.284682739131887,495280.0,-8.802489481388733,11.208153103299722,Allégé,167380000.0,4.956722699527486,3.672039960395599,5.260483559465613
4,EWZ,CALL,4.806670638836209,1.8180068423761306,4228000.0,0.0,20.836931598225195,Inchangé,162313000.0,4.806670638836209,2.9886637964600786,
5,RSP,CALL,4.666094926955119,,821000.0,,,Nouveau,157566000.0,4.666094926955119,,
6,YPF,Actions,4.429186206700489,3.940828343113176,3235962.0,433.1161963129541,27.819249646922795,Renforcé,149566000.0,4.429186206700489,0.48835786358731326,0.06858685234845961
7,EWZ,Actions,3.906476729048681,1.395268461073734,3436170.0,-3.2766373686692045,20.837994632690314,Allégé,131915000.0,3.906476729048681,2.511208267974947,
8,TBBB,Actions,3.256665722980264,1.2692590325064574,3109202.0,16.225246266380378,5.9298476031130365,Renforcé,109972000.0,3.256665722980264,1.9874066904738066,0.7852529897196039
9,AA,Actions,2.9334333877828542,1.306471245585255,1493390.0,8.527306420551579,24.822290012409564,Renforcé,99057000.0,2.9334333877828542,1.6269621421975993,
10,NAMS,Actions,2.910275560377964,0.5139645545819267,3070146.0,0.0,-8.752007873650191,Inchangé,98275000.0,2.910275560377964,2.3963110057960373,1.3468724666131462
11,SE,Actions,2.6972946208690525,0.017522902416294173,1099905.0,16.500550777443546,-35.086504600151656,Renforcé,91083000.0,2.6972946208690525,2.6797717184527583,1.206498370385251
12,STM,Actions,2.6733668401233346,2.226905092857262,2612880.0,237.77559449554332,33.19208644364507,Renforcé,90275000.0,2.6733668401233346,0.44646174726607263,
13,WWD,Actions,2.2402088587277764,-1.7346935208737326,211355.0,-64.23349635320596,18.390796452484892,Allégé,75648000.0,2.2402088587277764,3.974902379601509,3.9381802524518075
14,TEVA,Actions,2.1204515006390614,-1.959135545606864,2377285.0,-59.53467906523889,-3.4923951645285833,Allégé,71604000.0,2.1204515006390614,4.079587046245925,8.252012615451047
15,ROKU,Actions,2.1020614612292956,0.6948147458358658,750190.0,28.681944492092352,-12.785250360742584,Renforcé,70983000.0,2.1020614612292956,1.4072467153934298,2.0273249428914752
16,AVGO,Actions,1.79606423543041,,195955.0,,,Nouveau,60650000.0,1.79606423543041,,
17,SPY,CALL,1.7333130381529647,0.36778444177298475,90000.0,0.0,-4.630700796767306,Inchangé,58531000.0,1.7333130381529647,1.36552859637998,1.4760205740862329
