Position,Type,Poids en T4 25 %,Titres soldés,Valeur soldée $
XLF,Actions,6.697015207644983,5495600.0,300994000.0
RSP,Actions,5.003437573006709,1173925.0,224877000.0
GOOGL,Actions,2.681195696915084,385000.0,120505000.0
COGT,Actions,1.7501140295253035,2214470.0,78658000.0
ENTG,Actions,1.5823960662594976,844160.0,71120000.0
DOCU,Actions,1.5509127924440143,1019085.0,69705000.0
EEM,Actions,1.0985993836843218,902500.0,49376000.0
DAL,Actions,1.0050840481037724,650910.0,45173000.0
ON,Actions,0.6460857279533647,536260.0,29038000.0
FLUT,Actions,0.5513911602087018,115245.0,24782000.0
AEVA,Actions,0.5391983446250376,1824862.0,24234000.0
GS,Actions,0.5378411151531333,27500.0,24173000.0
RH,Actions,0.35156693255014515,88200.0,15801000.0
CMG,Actions,0.3226423700341532,391930.0,14501000.0
Z,Actions,0.2924050773732047,192640.0,13142000.0
CDTX,Actions,0.24325557075949225,49495.0,10933000.0
PM,Actions,0.24054111181568377,67400.0,10811000.0
AAL,Actions,0.21822469935142233,639785.0,9808000.0
AGX,Actions,0.20914683665409559,30000.0,9400000.0
DASH,Actions,0.1809120137057927,35900.0,8131000.0
PGNY,Actions,0.16863019946823304,295115.0,7579000.0
WOLF,Actions,0.07240040494387523,186900.0,3254000.0
NP,Actions,0.012971553805248694,20000.0,583000.0
