#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
1,TFPM,Actions,22.993368737783783,3.3186202097697546,133248215.0,-0.42409962769174353,4.485249855984907,Inchangé,4625045543,22.993368737783783,19.674748528014028,17.232607493267963,17.493477983912477,16.907850111059204,12.06889794555227
2,PSX,Actions,17.43574794619456,6.441132279799234,19251000.0,0.0,41.18102913825172,Inchangé,3507147180,17.43574794619456,10.994615666395326,11.524592580032154,12.673532468435944,12.811492535277852,0.5294834874459227
3,SU,Actions,17.311060028063523,6.970028638879134,52670800.0,0.0,49.0306582506763,Inchangé,3482066588,17.311060028063523,10.341031389184389,9.692138216724642,10.884931013477651,13.456053846490876,11.269570928406178
4,XLI,PUT,6.030293363689215,0.8811917355983656,7500000.0,0.0,4.261217122227934,Inchangé,1212975000,6.030293363689215,5.1491016280908495,,,,
5,LUV,Actions,5.667992135298131,-3.6845755751375515,30346000.0,-40.64758402847727,-9.09750786353738,Allégé,1140099220,5.667992135298131,9.352567710435682,7.180577474778504,9.662858090367722,11.959525705162033,12.029314877036889
6,XLP,PUT,3.7251237103740067,-3.1509673068186563,9140000.0,-54.300000000000004,5.5355303810504575,Allégé,749297200,3.7251237103740067,6.876091017192663,,,,
7,HPE,Actions,3.245943194071852,1.265278042005448,27421735.0,47.183550965494135,-0.8742715910645571,Renforcé,652911510,3.245943194071852,1.980665152066404,2.0138797375652566,2.10248501600258,,
8,UNIT,Actions,2.7518919263599595,0.9210014427240227,59012219.0,0.0,33.808844516122186,Inchangé,553534614,2.7518919263599595,1.8308904836359368,1.5895086065916497,,,
9,PINS,Actions,2.552959663737246,-0.6554697261850673,28000000.0,0.0,-29.161838547701812,Inchangé,513520000,2.552959663737246,3.2084293899223133,3.9644104183627156,5.5407972757937145,5.727065869138478,4.869323742151679
10,XLY,PUT,2.3297099233964906,,4300000.0,,,Nouveau,468614000,2.3297099233964906,,,,,
11,HYG,PUT,1.9776588141351388,,5000000.0,,,Nouveau,397800000,1.9776588141351388,,,,,
12,DLR,PUT,1.3438683819581199,0.6591361205846151,1500000.0,50.0,16.482451037424852,Renforcé,270315000,1.3438683819581199,0.6847322613735047,0.7608766742823241,0.7215016650235426,,
13,ETSY,Actions,1.2423754088797665,0.015513649118047645,5000000.0,0.0,-9.848484848484851,Inchangé,249900000,1.2423754088797665,1.2268617597617189,1.460972998773817,1.3839852967582897,1.5564687079836028,1.5858284034630683
14,NCLH,Actions,1.225861112628399,,13186000.0,,,Nouveau,246578200,1.225861112628399,,,,,
15,QQQ,PUT,1.147777892752659,-2.9305416291046003,400000.0,-73.33333333333333,-6.044179648711568,Allégé,230872000,1.147777892752659,4.078319521857259,5.284677567548345,6.088210917892687,4.988970461246797,6.476280782979285
16,SDRL,Actions,1.0674702690596087,0.36935836762467833,4719085.0,3.516900875194515,31.502890312891108,Renforcé,214718368,1.0674702690596087,0.6981119014349304,0.49244920263682235,0.5365058348239037,0.6109331020898089,0.8646457689202408
17,IWD,PUT,1.0622583177884743,-1.5443891826992016,1000000.0,-64.28571428571429,1.583151088713497,Allégé,213670000,1.0622583177884743,2.606647500487676,4.480185160722419,5.359080227060659,6.828140468495425,
18,PEP,Actions,0.9843289655354029,0.1744408713965957,1275000.0,0.0,8.200947603121511,Inchangé,197994750,0.9843289655354029,0.8098880941388072,0.7880803920272282,,,
19,GDX,CALL,0.9124673171100136,,2000000.0,,,Nouveau,183540000,0.9124673171100136,,,,,
20,GDX,PUT,0.7527855366157611,-4.561756540897503,1650000.0,-88.21428571428571,6.995452955578885,Allégé,151420500,0.7527855366157611,5.314542077513264,3.8668801829271744,1.1491271857932468,0.6066203179822485,
21,EQIX,Actions,0.7309880376952597,0.22234496093171074,150000.0,0.0,27.94194424141172,Inchangé,147036000,0.7309880376952597,0.5086430767635489,0.5170774927969292,0.6584442488111942,0.806952158364411,
22,IWM,PUT,0.6164647887198522,,500000.0,,,Nouveau,124000000,0.6164647887198522,,,1.190790220045739,0.6581177247894212,
23,OR,Actions,0.5880289583228842,0.10074403113617403,3111000.0,0.0,7.431477818592835,Inchangé,118280220,0.5880289583228842,0.4872849271867101,0.38457743935126243,0.30930902610275635,,
24,RIG,Actions,0.5150757645307519,,15626834.0,,,Nouveau,103605909,0.5150757645307519,,,,0.24827563580754547,0.2669354640193624
25,CCI,Actions,0.4951840416471266,0.013354223383131913,1225000.0,0.0,-8.506807696635532,Inchangé,99604750,0.4951840416471266,0.4818298182639947,0.5202210384043224,0.694444145460823,0.8424444614480091,0.6667195603154752
26,XME,PUT,0.48327359392474284,0.07056207792178287,900000.0,0.0,4.246694334523693,Inchangé,97209000,0.48327359392474284,0.41271151600295997,,,,
27,FTV,PUT,0.20611798500262155,,750000.0,,,Nouveau,41460000,0.20611798500262155,,,,,
28,Wayfair Inc,Obligation,0.13048222976790413,-0.021447470913756872,15000000.0,0.0,,Inchangé,26246100,0.13048222976790413,0.151929700681661,0.13683236762939627,0.1118509490975118,0.10565941678398989,0.11503147686901168
29,EMR,PUT,0.13027293002915327,,200000.0,,,Nouveau,26204000,0.13027293002915327,,,,,
30,GLIBK,Actions,0.12207952137972888,0.013397268671829374,659928.0,0.0,0.0,Inchangé,24555921,0.12207952137972888,0.10868225270789951,0.07822610146265092,,,
31,HDB,Actions,0.09859198424095186,0.06353762266513155,797085.0,267.73376515528986,-31.910232608569956,Renforcé,19831475,0.09859198424095186,0.03505436157582031,,,0.29380299871827903,0.2566585163933866
32,WPM,CALL,0.06513149352434504,,100000.0,,,Nouveau,13101000,0.06513149352434504,,,,,
33,Strategy Inc,Obligation,0.05736602578256753,-0.04314316333619727,10000000.0,-37.5,,Allégé,11539000,0.05736602578256753,0.1005091891187648,0.15793208341015108,0.2455406233130358,0.2160872097242314,
