Position,Type,Poids en T2 25 %,Titres soldés,Valeur soldée $
UNH,CALL,18.879907812925143,350000.0,109189500.0
REGN,CALL,18.155503233892816,200000.0,105000000.0
LULU,CALL,16.43194079355526,400000.0,95032000.0
META,CALL,12.762281316099,100000.0,73809000.0
EL,CALL,6.985546006183522,500000.0,40400000.0
JD,CALL,5.643767862421538,1000000.0,32640000.0
BABA,CALL,4.902418147037582,250000.0,28352500.0
ASML,CALL,3.464199699192706,25000.0,20034750.0
VFC,CALL,3.047530899974866,1500000.0,17625000.0
EL,Actions,2.0956638018550566,150000.0,12120000.0
BRKR,Actions,1.780968412467581,250000.0,10300000.0
REGN,Actions,1.3616627425419614,15000.0,7875000.0
MELI,Actions,1.3557647976342653,3000.0,7840890.0
UNH,Actions,1.0788518750242937,20000.0,6239400.0
