#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
1,SMH,PUT,14.935790038607324,,5327900.0,,,Nouveau,2042716860,14.935790038607324,,,26.851258954491154,,
2,NVDA,PUT,11.466669478055325,,8992300.0,,,Nouveau,1568257120,11.466669478055325,,7.213663599800604,,,
3,ORCL,PUT,7.844557224304922,,7293000.0,,,Nouveau,1072873230,7.844557224304922,,,,,
4,AVGO,PUT,7.357411380191346,,3251100.0,,,Nouveau,1006247961,7.357411380191346,,1.833555795062272,,,
5,AMD,PUT,7.086240607718623,,4764100.0,,,Nouveau,969160863,7.086240607718623,,,,,
6,BE,Actions,6.424873365826757,-9.44505417583358,6485408.0,-35.63523382541245,55.932788522658214,Allégé,878707930,6.424873365826757,15.869927541660337,,,,
7,SNDK,Actions,5.296346720109157,0.7602409066869456,1140119.0,8.150161259723014,167.6468108503384,Renforcé,724363205,5.296346720109157,4.536105813422211,0.31178951866567695,,,
8,MU,PUT,4.267754491284358,,1727700.0,,,Nouveau,583686168,4.267754491284358,,1.2129416940976765,,,
9,CRWV,Actions,4.065857332972548,-3.8506744360114347,7177919.0,17.69372461390841,8.183214727712663,Renforcé,556073385,4.065857332972548,7.916531768983982,13.609230793466256,,4.51714974341057,
10,TSM,PUT,3.9125789834783404,,1583400.0,,,Nouveau,535110030,3.9125789834783404,,1.8221744989844972,,,
11,ASML,PUT,3.612889335117701,,374100.0,,,Nouveau,494122503,3.612889335117701,,,,,
12,MU,CALL,3.0877427297015965,,1250000.0,,,Nouveau,422300000,3.0877427297015965,,,,,
13,IREN,Actions,2.9322666136967657,-3.0245369011398084,11698835.0,34.459770170428065,-9.24013758319,Renforcé,401036064,2.9322666136967657,5.956803514836574,8.188114173338523,4.392489460982302,2.0386227053207726,
14,CORZ,Actions,2.8448965239454864,-4.744602486455703,26008473.0,-9.556125058152116,2.747252647599163,Allégé,389086756,2.8448965239454864,7.589499010401189,8.748345110013865,6.4275412947544766,3.255496782664744,
15,SNDK,CALL,2.8425406120701915,,611900.0,,,Nouveau,388764546,2.8425406120701915,,,,,
16,TSM,CALL,2.594548397532056,,1050000.0,,,Nouveau,354847500,2.594548397532056,,,,,
17,APLD,Actions,2.3395929612079076,-2.7002100102597506,13478438.0,18.867331154434318,-3.181076638768532,Renforcé,319978118,2.3395929612079076,5.039802971467658,3.361510886801236,3.126645456736061,2.2554494730716432,
18,INTC,PUT,1.1633420015396794,,3605400.0,,,Nouveau,159106302,1.1633420015396794,,,,,
19,RIOT,Actions,1.0394821410099562,-0.37701563020064777,11502137.0,86.48989088314931,-2.4467247657530944,Renforcé,142166413,1.0394821410099562,1.416497771210604,1.652077573634335,,,
