Position,Type,Poids en T4 25 %,Titres soldés,Valeur soldée $
INTC,CALL,13.53621118236601,20237400.0,746760060.0
LITE,Actions,8.674972258550143,1298400.0,478577256.0
CIFR,Actions,2.800989337153937,10469093.0,154523813.0
EQT,Actions,2.4116927311232446,2482225.0,133047260.0
COHR,Actions,1.6069032837072728,480300.0,88648971.0
TSEM,Actions,1.53885895830371,723004.0,84895130.0
KRC,Actions,0.8993714405665163,1327700.0,49616149.0
HUT,Actions,0.7163189962057328,860200.0,39517588.0
EQT,CALL,0.680109543569286,700000.0,37520000.0
LBRT,Actions,0.18979464651537134,567200.0,10470512.0
